name,source,category,directions
Chawoof,Grandma,soup,"1 piece fatback
4 c. water
1 pint chawoof
1 potato, cubed

Cook fatback about 1/2 hour. Slice or cube fatback about 2 pieces size of walnut or more. Add potatoes cubed and cock 1/2 hour. (or til done.)  Then add chawoof and boil 10 minutes. Add sour cream just before eating. You can put it in your soup dish just before eating if you don't want to put it all in the soup. Make sure you don't boil sour cream the next day. It will curdle. Just heat it slowly. (You can make it in 1 hour.)"
Cheese Popovers,Mom,bread,"Beat together with rotary beater 2 eggs and 1 cup milk. sift flour, measure 1 cup, and sift again with 1/2 tsp. salt in milk mixture. Beat until smooth Divide 1/2 cup shredded sharp Cheddar or Swiss cheese into 6 portions, placing each in bottom of well-greased custard cup, deep muffin tin, or popover pan. Pour 1/6 of the batter into each cup, over cheese. Bake in a hot oven (425) for 35 minutes. or until puffed and golden brown Serve immediately. Makes 6 popovers"
Chili Casserole,Concetta Jorgenson,main,"3/4 lb. Monterey Jack Cheese 3/4 lb. Cheddar cheese
2 large cans Chili Ortega
2 eggs
2 ribs
2 T. flour 
1 small can evaporated milk
pinch of salt

Sauce:
1 small can tomato sauce 
1 can Chili Salsa Verde

In 2 qt Pyrex, layer sliced Ortega chilis from one can; then half the cheeses shredded and mixed together. Repeat these layers. Peat the 2 eggs with the flour and salt and evaporated milk and pour over the chilis and cheese layers. Fake uncovered in a 350 oven for 30 minutes. Then if you like, pour the tomato sauce over it and bake for 15 more minutes. (The sauce can also be served alongside the dish.)
"
Chinese Almond Cookies,,dessert,"2 3/4 cups sifted all-purpose flour
1 cup sugar
1/2 teaspoon salt
1/2 teaspoon soda
1 cup butter, margarine, or lard
1 slightly beaten egg
1 teaspoon almond extract 
1/3 cup whole unblanched almonds

Sift together flour, sugar, salt, and soda; cut in butter, margarine, or lard till mixture resembles cornmeal. Add egg and almond extract; mix well. Shape dough into 1-inch balls and place, 2 inches apart, on ungreased cookie sheet. Place an almond atop each cookie and press down to flatten slightly. Bake in slow oven (325 degrees) 15 to 18 minutes. Cool on rack. Makes about 4 dozen cookies.
"
Chocolate Cookies,Georgia Wright,dessert,"1/2 cup butter
1 cup sugar 

Cream the above together

2 eggs beaten together
2 squares melted chocolate.
1/2 tsp. vanilla
pinch salt 
2/3 cup flour

Mix everything above thoroughly.

Drop by teaspoons on buttered and floured sheet. Bake at 275, until slightly firm on the top. (10 + minutes). Allow to cool just a bit before removing. (May add an almond or walnut to each before baking)
"
Chocolate Frosting,,dessert,"4 Tb. butter
4 oz. chocolate
1/3 cup hot milk
3 cups sifted confectioners' sugar 
1 t. vanilla
1/8 teaspoon salt

Melt butter & chocolate; blend; Stir hot mild into sugar & beat until smooth. Stir in vanilla, salt, and chocolate. Beat until smooth and thickened. (About 5 minutes.)

Frosts 2 9"" cake layers.
"
Chocolate Waldorf Cake,Nora Krevans,dessert,"1 cup sugar
2 cups plain flour,
4 level tablespoons cocoa 
2 level teaspoons baking soda
Pinch of salt
1 cup cold water
1 teaspoon vanilla
1 cup mayonnaise
2 heaping tablespoons seedless blackberry jam

Sift sugar, flour, cocoa, soda & salt together. Add mayo, water, vanilla, jam.
"
Cpvapcici (Serbian Hamburger Rolls),,main,"1/3 lb. each veal and lamb 
1 lb. lean beef
2 onions
1/2 tsp. baking soda salt and pepper to taste

Grind beef, veal and lamb together with baking soda. Fix with salt and pepper--- working well with hands. Form into sausage inch long. Broil on grate over hot charcoal fire or very hot skillet. Turn gently several times. Chop raw onions fine. Place sausage on warm plate. Sprinkle with chopped onions.

Serve with rolls if you care to.
"
Cranberry Pudding,Georgia Wright,dessert,"Sift:
1 1/2 cups flour
1 teaspoon salt
1 1/2 teaspoons baking powder
1 teaspoon baking soda

Pour boiling water into a measuring cup containing 1/2 cup molasses until overflows into flour. Stir water and molasses together and into flour. Add and mix 1 1/2 cups cranberries. Turn into a greased mold and cover. Steam for 2 1/2 hours.

Sauce:
1 cup sugar
1/2 cup butter
1 cup cream
-- in double boiler for 1 hour.
"
Cucumber Dill Ladyfingers,,dip,"1 loaf ""party"" pumpernickel rye bread
1 bucket of fresh cream cheese
bunch of dill cucumbers 

Spread cream cheese on bread, then place thin sliced* cucumber on top-- sprinkle a few sprigs of dill on top.

Keep refrigerated.

*Not too thick not too thin"
Date Nut Bread,Robert E. Lee (??),bread,"2 c. sifted flour
1 c. brown sugar (packed)
2 eggs
1/2 c. butter (1 stick margarine)
1 t. soda. 
1/2 c. sour milk
1/4 t. salt
1 t. vanilla
1 t. lemon juice 
1 c. chopped dates 
1 c. chopped nuts

Bake at 350 for 14 hours.
"
Favorite Baked Custard,Sunset,dessert,"1 teaspoon vanilla or other flavoring
6 eggs, slightly beaten
1/2 cup sugar
1/4 t. salt
1 quart milk, scalded
Cinnamon or nutmeg

Blend the first 4 ingredients; strain into the milk; mix well. Pour into 6 or 8 greased custard cups or a baking dish. Set in a pan of hot water with the water coming as high on the outside of the containers as the custard is on the inside. Sprinkle with cinnamon or nutmeg, if desired, and bake in a moderate oven (350 degrees) until a knife inserted comes out clean. Allow about 45 minutes for custard cups, and about 1 hour for a baking dish.
"
Fluffy Pancakes,,breakfast,"1 egg
3/4 c. milk
2 T. shortening
1 c. flour
1/2 t. salt
2 T. baking powder
2 T. sugar

Combine egg, shortening and milk. Add dry ingredients. Fry in batter.
"
Fondue,Dad,main,"1. Grate cheese

2. Put 4 level teaspoons flour in pot.

3. Put 4, half glasses wine in pot.

4. Sprinkle garlic salt, pepper and salt (8 sprinkles garlic salt, 4 each of salt and pepper)

5. Put pot on single red heat

6. When brew begins to bubble, add cheese, handful at a time. until each melts.

7. Stir slowly

8. When cheese is melted and smooth and begins to bubble, add 4 tablespoons kirsch stir and serve in a few minutes.

Serves 4"
French Dressing (Sauce Vinaigrette),Jane Andrews,dressing,"1 teaspoon chopped onion
1 teaspoon chopped chives
1 teaspoon chopped parsley
1 teaspoon salt
1/4 teaspoon freshly ground black pepper
2 tablespoons wine vinegar
4 tablespoons olive oil

Mix all the seasonings with the vinegar and allow them to stand several minutes before combining with the oil. Mix thoroughly before serving.
"
French Sponge Cake,Krevans,dessert,"6 eggs -- beat well 
1 1/2 cups flour
4 tsp. baking powder 
1 1/2 c. sugar
pinch salt

Mix dry ingredients Beat eggs till really fluffy about 5 minutes. Add dry ingredients slowly and beat well. Add flavoring and beat. Bake at 325 for 45 minutes in a 10x13 pan or tube.

or 1/2 recipe serves 9 pieces -- 8or 9"" --
"
Friendship Soup,Beth Wright,soup,"2 carrots, washed and sliced 
1 stalk celery 
1 small onion, peeled and chopped 
2 stems of parsley, chopped 
2 medium potatoes, peeled and chopped 
1 cup canned tomatoes 
3 cups water 
2 bouillon cubes
3/4 teaspoon salt
2 hot dogs, sliced

Put everything into the pot, let it cook;stir; turn heat down to low--let simmer, about 1 hour. Makes 5 cups--serve with crackers,"
Ginger Snaps,Grandma,dessert,"1-1/2 cups softened butter
4 cups flour
4 tsp. baking soda
2 cups sugar
2 eggs
2 tsp. ginger
2 tsp. cinnamon
1/2 cup molasses
2 tsp. cloves
pinch of salt

Roll the dough into 1-inch balls and roll in sugar.
Place on greased cookie sheet and bake at 350' for 12 minutes.
"
Gram's Dried Mushroom Soup,Grandma,soup,"1/2 or 1 lb. marrow beans (soak overnight)
1 onion (whole)
1 bay leaf
3 Parsley roots--(maybe parsnips-cut in half)
2 T or so dried dill
2 T parsley--green chopped
Dried Mushrooms (soak overnight)
3 or 4 potatoes cubed

Brown together,
1/4 c oil
1/4 medium onion
5 or 6T. vinegar

Put beans, water, onion, parsley and parsley roots, dried mushrooms, bay leaf, salt and pepper. Don't know how many mushrooms--judge for yourself about a pint or so

Cook about 3 hours until mushrooms are done. Add potatoes.Cook until done. Add vinegar. Cool
Bring to a boil.

Now brown 1/4 onion in oil. Add to cooked soup. Pat luke warm."
Gram's Nut Bread,Grandma,bread,"2 c. scalded milk 
1/2 c. butter
1/2 c. sugar
1 t. salt
2pkgs. dry yeast or 2 small cakes 
4 eggs beaten 
8 c. flour (or 9 cups -- must be a soft dough)

Dissolve yeast in cup of cooled milk. Put shortening into milk while hot. Add sugar and beaten eggs when cooled.

Add flour and salt--Knead well. After you add flour. 
Cover and let rise (double), Divide dough into 4 parts. Poll out into a rectangle (10″ x12"") or so with rolling pin.

Put nut filling 1/4 inch thick on dough and roll up into a roll. Put on cookie sheet===Brush with beaten egg yolk and 1 T water.

Let raise double Bake at 350 for 35 -40 minutes.

Makes 4 rolls."
Gram's Nut Filling,Grandma,bread,"2 c. milk 
5-6 cups nut meats (ground fine in blender)---1 lb. nuts 
1 c. sugar (1/2 white and 1/2 brown)
1/2 c. honey 
1/2 c. cracker crumbs
2 eggs--beaten.
1/4 c. butter 
1/2 t. cinnamon.

Cook nuts milk, cracker crumbs, sugar and honey till thick. Stir. about 10 minutes. Add eggs; (beaten) and cinnamon-Cook 5 minutes and stir.

Cool and spread on rolled dough about inch. Roll up and put on cookie sheet. Cover with tea towel to raise so dough won't dry. Bake 2 Or 3 rolls on a cookie sheet. Bake 350 35-40 minutes. Makes 4 rolls 12 inches long.

Nut filling: should be soft like oatmeal. Add milk if too thick and hard.
"
Gram's Pizza Dough,Grandma,main,"2 cups flour 
1 cup warm water 
+ 1 tsp. sugar 
+ 1 package yeast

flour mixture: 
mix flour 
+ 2 T. oil  
+ a little salt

Let yeast stand for 5 minutes, then mix with the flour mixture. Let sit for 40 minutes. Place on a pizza pan and dry at 400 for 5 minutes.

Add your own toppings and sauce."
Guacamole,,dip,"2 avocados 
2 T. lemon juice 
2 T. minced mild onion 
2 T. tomato, chopped

and hot pepper sauce, 1 small hot red pepper or 6 little green peppers

1/2 tsp. salt

Rub bowl with garlic. Mush and serve."
Humus,Boas,sauce,"1 lb. garbanzo beans.
1/2 cup tahini (after you've made it!)*
garlic 
lemon juice 
salt
black pepper
parsley flakes

Put the garbanzo beans during all night in a big bowl of water. Rinse the beans and cook in water for 4 hours until the beans are very soft. Crush it or use a blender, add the tahini, garlic, slat lemon juice, black pepper, parsley. I after all it's too thick add some water. 

Use pita bread, hot sauce and some pickles and fresh onions for the best taste.

*Don't buy ready tahini but the one that you have to make by yourself."
Hungarian Pork Chops,Tricia Clark Pfaff,main,"4-6 pork chops cut 1-1 1/2"" thick 
salt and pepper
Flour
1/2 c. dairy sour cream
1/3 c. dry or medium sherry
1/4 c. catsup
1/2 t. Worcestershire sauce
1/4 t. paprika 

Sprinkle pork chops w/ salt and pepper; dredge w/ flour. Brown slowly on both sides in skillet in a little oil. Pour off any excess fat. Mix remaining ingredients; add salt and pepper to taste; pour over chops, Cover and simmer gently one hour turning and basting chops occasionally."
Ice Cream Sandwich Cookies,Alex,dessert,"2 3/4 c. flour
1/2 c. unsweetened cocoa powder. 
2 1/2 t. baking powder
1/4 tsp salt
12 T unsalted butter (soft)
1 1/2 tsp. vanilla 
1 1/2 c. sugar
2 eggs 
1 T. milk

Dry ingred. together. Cream butt, sugar, vanilla Add-eggs & milk. Add day. Dough 2 feat. disks-plastic wrap-chill 1 hr.

Preheat oven 350⁰. Boll dough 1.8"" thick. Cut for pairs. Place on parchment chill 30 mins. on sheet Prick up holes. Bake 12-15 mins. Cool.

Put ice cream in, direct to freezer. Keep stored in airtight container 3-4 days.

Vanilla extract:
2 whole beans, split lengthwise 
8oz vodka
Jar in dark cupboard 2-5 month. Shake occasionally.
"
Icy Banana Shake,Beth Wright,dessert,"3 ice cubes
3/4 cup milk
1 T. sugar
1/2 t. vanilla
1 ripe banana

Blend in blender. Drink!
"
Indian Fried Chicken,,main,"1/2 t. paprika
1/4 turmeric
1/4 t. cayenne pepper
1/4 t. black pepper 
1/8 t. ground cinnamon

1 t. salt
1 frying chicken, disjointed 
1/4 cup vegetable oil or clarified butter

Combine paprika, turmeric, cayenne pepper, black pepper, cinnamon and salt. Rub this mixture into the chicken parts.

Heat oil or butter and sauté the chicken until very tender."
Kitchen Sink Barbeque Sauce for Chicken,Georgia Wright,sauce,"Catsup (almost the bulk of the sauce is catsup)

Add
some Worcestershire Sauce
lemon juice
honey or molasses 
oil (Mazola) to keep skin moist

and anything else goes:

mustard 
something sharper--Cayenne
A-1 sauce and/or Soya sauce 
juice from canned fruit

Keep from thinning too much. Coat chicken pieces!
"
Lace Cookie,Georgia Wright,dessert,"1 cup oatmeal
1 cup brown sugar.
1/2 cup butter
pinch salt
1 tsp. vanilla
1/8 tsp. soda
1 tsp. water

Tix and let stand in refrigerator. Fake little balls about 1"" in diameter. Space well, Bake in 250-350 oven for 8-10 minutes. Let cool for about 2 minutes and loosen with spatula You may roll around handle of wooden spoon (but I can't)

50 cookies"
Lamb Burgers,Mom,main,"1/2 lb. lamb
1/2 t. garlic salt
1/2 C. chopped gr. onions and some tops
4 T. cocktail sherry
1 t. salt
1/2 t. oregano

Mix thoroughly. Broil 5 minutes each side.
"
Lamb Indad,Patsy Krevans,main,"3 T. veg. oil
1 1/2 lb. lamb or beef, cubed 
1 lg. onion, finely chopped
1/4 t. ginger, finely chopped
1/4 t. crushed red pepper 
3 cloves garlic, crushed
1 c. water
4 cloves
1 t. paprika
1/4 t. turmeric
2 T. vinegar
1 t. salt
1/2 t. cumin 
2 in. stick of cinnamon.

Heat veg. oil and brown lamb cubes. Remove and set aside. Put in chopped onion and brown it. Add cloves, paprika, turmeric, cumin, cinnamon, ginger crushed red pepper and garlic. Fry for 2 or 3 minutes. Put in browned lamb cubes, water, vinegar, and salt. Simmer until lamb is tender, about 1 hour.
"
Lamb Parmesan,,main,"1 boned leg of lamb (about 5 pounds)
1/3 cup flour
1/3 cup olive oil
2 cloves garlic, crushed
1 can (10 1/2 oz.) mushroom soup
1 can (8 oz.) tomato sauce
2 cups Marsala wine (1 1/2) 
2 tablespoons commercial sour cream
1 onion, sliced very fine
1 cup fresh mushrooms (whole)
1 tablespoon chicken stock base or 2 bouillon cubes
2 teaspoons salt (3/4)
3/4 teaspoon pepper
1/2 teaspoon marjoram 
Parmesan cheese

Cut meat into 1/4-inch slices, trimming off fat as you go. Lightly. dip in flour, then brown in olive oil heated with 1 clove of the garlic. Place in large casserole. In another pan or bowl, combine all remaining ingredients except Parmesan cheese. Blend well and pour over lamb. Sprinkle with Parmesan cheese and bake in moderate oven (350 degrees) for 1 hour, stirring twice. Serve over steamed rice, pilaf, or wild rice. Serves 6 to 8
"
Lemon Frosting,,dessert,"2 and 3/4 cup confectioner's sugar
2 tsp. salt 
1 egg
1 T. lite corn syrup cup shortening
1 tsp. vanilla
2 T. lemon juice 
1 T. grated lemon peel

Mix confec. sugar, salt, and egg. Blend in syrup. Add shortening, vanilla, lemon juice, and peel. Mix until smooth and creamy. Add more sugar to thicken or water to thin if required until it is of spreading consistency.
"
Lemon Meringue Pie,,dessert,"1 c. gran. sugar
1/4 t. salt
1/4 c. flour
3 T. butter 
1/4 c. lemon juice.
grated rind 1 lemon
2 c. water
2 T. cornstarch
3 eggs, separated
baked 9-inch pie shell
meringue pie topping

1. combine sugar, salt, flour, and cornstarch and gradually stir in water. Cook stirring constantly until thickened and smooth.
2. Gradually stir hot mixture into beaten egg yolks, return to low heat and cook. Stirring two minutes. Reserve white for meringue. Stir in butter lemon juice and rind and cool slightly. Pour into baked pastry shell and cool top with meringue and brown in oven. as directed.

3 egg white 
1/4 t. cream of tar.
6 T. sugar

1. beat egg whites until light and frothy. add c. of t. and continue until whites are stiff enough to hold a peak.
2. gradually beat sugar in and beat until meringue is stiff and glossy.
"
Lemon Roasted Oregano Chicken,,main,"2/3 cup butter, melted
1 clove garlic / garlic salt - 4 shakes
2 capfuls of lemon juice
3 pinches of oregano 
a shake each of salt and pepper

Melt all of these things together in a pot on med/low heat.
Put 3 chicken half-breasts and 6 thighs on a broiler pan. Spread some of the sauce over chicken (If you need more later, make more!) Broil for 10 minutes; Baste. Baste every ten minutes."
Lisa Cake,Sarah Krevans,dessert,"1 box cake
1 box instant pudding
1 cup milk 
1/2 cup oil
4 eggs

Put all of the above in large bowl. Mix for 10 minutes. Put on round spring tube pan(buttered). Bake for 45-50 minutes at 325.

Test, if not done bake for 5 more minutes.

* If making orange cake replace milk with orange juice
* Use chocolate cake with choc. pudding. Use vanilla cake. and vanilla pudding with orange.
* Lemon pudding -- lemon mix.
"
Marinade for Salmon,,sauce,"3/4 c. dry vermouth
3/4 c olive oil,
1 1/2 T. lemon juice
3/4 t. salt/pepper
1/4 t. thyme 
1/4 t. marjoram
1/8 t. sage
1 T. minced parsley

Mix and put over salmon-charcoal -greased until brown. 15 min.
3/4 inch thick
"
Meat Loaf,Rita Cogan,main,"2 pounds ground beef
3/4 cup milk 
1 1/2 cups soft bread crumbs 
2 teaspoons salt
1/8 teaspoon pepper

1 medium carrot grated
1 small onion diced
2 eggs slightly beaten
1/4 cup catsup.
3 tablespoons brown sugar 
2 tablespoons prepared mustard

Pour milk over breadcrumbs. Add ground beef, salt, pepper, carrot, onion and eggs.
Mix thoroughly. Pack in a 9x5 loaf pan or shape into a loaf 9x5. Mix together catsup, brown sugar and mustard. Spread mixture on meatloaf. Bake in a slow oven (300 degrees) 1 1/2 to 1 3/4 hours.

Serves 8."
Mediterrananean Bread,Simpsons,bread,"Proof 1 pkgs yeast with 1 T. sugar in 2 c. warm water.

In large bowl combine
5 c. flour
1 T. salt

Add the yeast mixture and knead. Let dough double in bulk (1 1/2 hrs)

Punch and divide dough. Slash the dough and form into loaves. Cover and let rise for5 minutes. Brush with mixture of water and egg white and put in a cold oven set to 400. Bake loaves 35-45 minutes until they sound hollow when tapped.

Makes 2 loaves
"
Mom's Cookies,Grandmommy,dessert,"2 c. sugar 
4 1/2 c. flour
1 t. baking powder
1 t. baking soda 
1 c. butter or marg.
1 c. sour cream 
2 eggs
juice of 1 orange

Confec. sugar and lemon juice for topping. Spread on cookies while hot. Bake at 375 for 10-12 minutes.
"
Mom's Meat Loaf,Grandmommy,main,"2 lb. gr. meat
3/4 cup milk
1 1/2 c. soft breadcrumbs
2 t. salt
1/8 tsp.
1 med. carrot grated 
1 small onion diced
2 eggs slightly beaten 
1/4 c. catsup
3 T. brown sugar 
2 T. prepared mustard

Pour milk over breadcrumbs. Add ground beef, salt, carrot, onion, and eggs. Mix thoroughly. Pack in a 9x5 inch loaf pan or shape into a loaf 9 x 5. Mix together catsup, brown sugar and mustard. Spread mixture. on meat loaf. Bake in a slow oven (300) for 1 1/2 to 1 3/4 hours.

serves 8
"
Moussaka a la Greque,Kate Simpson,main,"3 med. sized eggplants
1 c. butter 
3 large onions, chopped
2 lb. gr. lamb or beef 
3 T. tomato paste
1/2 c. red wine
1/2 c. chopped parsley.
1/4 t. cinnamon 
salt to taste

fresh gr. pepper to taste 
6 T. flour
1 qt. milk
4 eggs, beaten frothy
nutmeg 
2 c. ricotta cheese or cottage cheese
1 c. fine breadcrumbs 
1 c. freshly grated parmesan cheese

1. peel eggplants and cut them into slices in. thick. Brown slices quickly in 4 T. butter, set aside.

 2. Heat 4 T. butter in same skillet and cook onions. until brown. Add gr. meat and cook for ten minutes. Combine the tomato paste with wine, parsley, cinnamon, and salt and pepper. Stir mixture into meat and simmer. over low heat, stirring, frequently until all liquid has been absorbed. Remove mixture from fire. 

3. Preheat oven to 375.

4. Make a white sauce by melting 8 T. butter and blending in the flour, stirring with whisk Meanwhile, bring milk to boil and add it gradually to butter-flour mixture, stirring constantly. When mixture is thickened and smooth, remove it from heat. Cool slightly and stir in beaten eggs and ricotta cheese. 

5. Grease 11 x 16 pan. and sprinkle the bottom lightly with breadcrumbs. Arrange alternate layers of eggplant and meat sauce in pan, sprinkling each layer with parmesan cheese and breadcrumbs. Pour ricotta cheese sauce over top and bake one hour, or until top is golden. Remove from oven and cool 20 to 30 minutes before serving. Cut into squares and serve.

Note: flavor of this dish improves on standing-for one day. Reheat before serving.
"
Murgh Marsala (Spicy Chicken),Patsy Krevans,main,"1 fryer, disjointed
1 large clove garlic.
2 t. cumin
2 t. turmeric 
1/4 t. cayenne pepper
2 T. ground coriander. 
3 whole cardamoms 
6 cloves 
1/4 c. clarified butter 
1 t. salt
1 inch piece of ginger
2-inch stick of cinnamon
4 large tomatoes, chopped

In a food mill or electric blender, grind together the onion, garlic, coriander, cumin, turmeric, cayenne pepper, cardamoms, cloves, ginger and cinnamon. Rub this poste into the chicken parts.
Heat the butter and sauté the chicken for 10 minutes. Add salt and tomatoes. Cover tightly and simmer until chicken is tender and sauce is very thick.
"
Nobby Apple Cake,Grandma,dessert,"8x8x2 350° - 40 minutes
3 T margarine 
1 cup sugar
1 beaten egg
1/2 t. Cinnamon
1/4 t. nutmeg + salt
1 1/4 c. flour / 1 t. Soda
3 cups diced apples
1 t. vanilla.

Cream butter & sugar. - add egg - add flour + spices. Stir in apples + vanilla. BAKE
"
Oatmeal Muffins,,bread,"Soak together for 1 hour: 
1 cup rolled oats 
1 cup buttermilk or sour milk

Mix thoroughly:

1/3 cup shortening (part butter) 
1/2 cup brown sugar (packed)
1 egg

Sift together:
1 cup flour 
1 tsp. baking powder
3 tsp. soda 
1 tsp. salt

Stir into shortening mixture. Alternatively add rolled oats and buttermilk. Then fill the greased muffin cups 2/3 full. Bake at 400 for 20-25 minutes.
"
Pancakes,Dusty McCreary,breakfast,"Overnight: 2 cups of warm water. (105 F) 
Dissolve 1 small packet of Fleishman's yeast 
Mix in 2 cups of white flour

Cover overnight.

Next morning, add
1 T. sugar 
1 t. salt
2 eggs
1/2 t. baking soda
"
Peanut Butter Cookies,,dessert,"1 pkg Duncan Hines yellow cake mix
1 cup peanut butter
1/2 c. cooking oil 
2 tablespoons water
2 eggs

Preheat oven to 350

Combine ingredients and mix well. Drop from t. onto ungreased baking sheet. Press 2 crisscross on each cookie with fork prongs that you have dipped in water.

Bake at 350 for 10-12 minutes until golden. Cool on rack for 1 minute, then remove.
"
